id,title,description,availability,condition,price,sale_price,link,image_link,additional_image_link,brand,google_product_category,product_type,color,size,gender,material,sku,custom_number_1
644,Mayoral - Chandal 3 piezas punto pana - Celeste - 0-1 mes,"Mayoral - España
Original conjunto de tres piezas para recién nacido. Suave tejido de velour de tacto aterciopelado.
Camiseta de manga larga para recién nacido con puños elásticos. Botón en el hombro para facilitar la puesta de la prenda. Bajo elástico para un mejor ajuste. Elementos de adorno: aplique decorativo, modelo con coderas.
Pantalón largo deportivo para recién nacido de gran confort. Cinturilla elástica. Bajo elástico para un mejor ajuste. Bolsillo lateral.
Dulce gorro para recién nacido. Elementos de adorno: nudo decorativo.",in stock,new,32990 CLP,29691 CLP,https://www.hereneo.cl/products/291/chandal-3-piezas-punto-pana,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/e41508593d5d730575f9702d75014aeaee7a3ceaf556fab74e59bd759800d570.webp,"https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/96664d3d52a147c63e8e2f1e70339ab90d4abc9cdc8fe4b621d1567308760c5e.webp,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/7e42a8e8d33e20bd76bde223298657e474831a2191b13217a2ee56ebb40c0078.webp,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/ecd318a6c1cd646c7193c52d5fe295dc6b761b95e806511493bd8d0dbee154b6.webp",Mayoral,,Conjunto,Celeste,0-1 mes,Baby,"69% Algodón
28% Poliéster
3% Elastano",291,262680 cielo
643,Mayoral - Conjunto polaina y camiseta tundosada - Azul - 2-4 meses,"Mayoral - España
Conjunto hermoso con detalles de aviones y cuello a tono. ",in stock,new,28990 CLP,26091 CLP,https://www.hereneo.cl/products/290/conjunto-polaina-y-camiseta-tundosada-2,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/8d28d12a6e1a68e072f9a377f5bdcb73fd6a93ad4250235394010618fe11dd5b.webp,,Mayoral,,Conjunto,Azul,2-4 meses,Baby,"75% Algodón
25% Poliéster",290,251277 Mid blue
642,Mayoral - Pelele tundosado cuello - Blanco - 0-1M,"Mayoral - España
Pelele tundosado con cuello y avión con perrito, bolsillos decorativos.",in stock,new,25990 CLP,23391 CLP,https://www.hereneo.cl/products/289/pelele-tundosado-cuello,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/5b62e75e57e0240a4c066d7c87f24a274c5dbff4a6e26768fb1671d8ef32e78d.webp,,Mayoral,,Enterito,Blanco,0-1M,Baby,"75% Algodón
25% Poliéster",289,279363 crudo
641,Mayoral - Conjunto polaina y camiseta cuello  - Celeste - 0-1 mes,"Mayoral - España
Conjunto polaina y camiseta con cuello decorativo  abrochado en la espalda. ",in stock,new,28990 CLP,26091 CLP,https://www.hereneo.cl/products/288/conjunto-polaina-y-camiseta-cuello,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/850f4ffbbcfdbcee97d12f08fec8190a06af2daf5d93b976ad8c5ee7c5e24db9.webp,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/a0c56695d55806f0e6a14f20fc55b19e2b0abdc54abf035233c300f01ace4dd5.webp,Mayoral,,Conjunto,Celeste,0-1 mes,Baby,"80% Algodón
20% Poliéster",288,250342 polar
640,Mayoral - Chaqueta reversible recién nacida - Beige - 4-6 meses,"Mayoral - España
Canguro de manga larga para recién nacido. Cuello con capucha. Cierre central delantero con cremallera. Bolsillos funcionales en la parte delantera. Este modelo presenta un diseño reversible.",in stock,new,41990 CLP,37791 CLP,https://www.hereneo.cl/products/287/chaqueta-reversible-recien-nacida,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/b923595f7c025d1f9b06c6c946ffdfe1be2b0f3fbf027afc28d1a3b4fb26e983.webp,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/c53e7ffa034ec91bf935d042c5b294063e740d0db64b80f2097cbfe60c22249d.webp,Mayoral,,Chaqueta,Beige,4-6 meses,Unisex,"45% Viscosa
37% Poliéster
18% Poliamida",287,244727 nuez vigore
639,Mayoral - Conjunto polaina y camiseta tundosada - Beige - 2-4 meses,"Mayoral - España
Conjunto polaina y  camiseta aterciopelada, pantaloncito con cintura elasticada suave, con polerón con cuellito y pompon decorativo, broches en la parte trasera para facilitar la puesta de la prenda. ",in stock,new,28990 CLP,26091 CLP,https://www.hereneo.cl/products/286/conjunto-polaina-y-camiseta-tundosada,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/39465d99e5a251aa9914bca3544f0496b80544711bae4aa01ddceb3e0c8c026d.webp,,Mayoral,,Conjunto,Beige,2-4 meses,Baby,"75% Algodón
25% Poliéster",286,250651
638,Mayoral - Vestido pelo con diadema - Blanco - 4-6 meses,"Mayoral -  España

Vestido para recién nacido con diadema a juego.
Vestido de manga larga para recién nacido. Cuello redondo. Cierre con cremallera trasera invisible. Diseño con volante decorativo en el bajo de la prenda. Elementos de adorno: bordado.
Original diadema para recién nacido, perfecta como accesorio para completar el look. Elementos de adorno: aplique floral.",in stock,new,28990 CLP,26091 CLP,https://www.hereneo.cl/products/285/vestido-pelo-con-diadema,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/3d92873a65c8066c286dc4450cc7d0e49955b556fc9b115d5f158b0d2683f6d8.webp,,Mayoral,,Vestido,Blanco,4-6 meses,Baby,"72% Poliéster
27% Algodón
1% Elastano
Forro
96% Algodón
4% Elastano",285,289094 garbanzo
637,Mayoral - Chaqueta tricot con pelo  - Blanco - 0-1 mes,"Mayoral - España
Chaqueta tejida de manga larga para recién nacido. Cuello con capucha. Cierre con botones en la parte delantera. Tejido de punto tricotosa de tacto suave y agradable. Bolsillos funcionales en la parte delantera. Elementos de adorno: pompón.",in stock,new,39990 CLP,35991 CLP,https://www.hereneo.cl/products/284/chaqueta-tricot-con-pelo-2,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/dede063e81a4f4e2100b6670c2477331bf80202284dcf2412fa7877bdd59445b.webp,,Mayoral,,Chaqueta,Blanco,0-1 mes,Baby,"60% Algodón
40% Acrílico",284,230480 milk vigore
633,Mayoral - Chaqueta tricot con pelo - Rosado - 0-1 mes,"Mayoral - España
Chaqueta tejida de manga larga para recién nacido. Cuello con capucha. Cierre con botones en la parte delantera. Tejido de punto tricotosa de tacto suave y agradable. Bolsillos funcionales en la parte delantera. Elementos de adorno: pompón.",in stock,new,39990 CLP,35991 CLP,https://www.hereneo.cl/products/283/chaqueta-tricot-con-pelo,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/e783983367907f69bec1a90784dc6c6291ac7c34fe9ced69b1ab7c6798296c0c.webp,,Mayoral,,Chaqueta,Rosado,0-1 mes,Baby,"60% Algodón
40% Acrílico",283,230479 Mide rose vigore
632,Mayoral - Vestido estampado niña - Blanco - 6 años,"Vestido fresquito estampado better cotton niña, con estampado tropical ",in stock,new,24900 CLP,22410 CLP,https://www.hereneo.cl/products/282/vestido-estampado-nina,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/4a43636901737358a5ef3b1f529f57d2e1cf695070c2201c62c1960ed97a8b44.webp,"https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/6ea658560c06d6c707fecf9cdf12708e5e5e737fd33273b8f27a6d2f1fa799e5.webp,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/054dc0db3f19e0bc7181e52f5b8ce2ee625c1258522a902990f5207ef2e9a79d.webp",Mayoral,,Vestido,Blanco,6 años,Nina,"95% algodon

5% elastano",282,394385 crudo
