id,title,description,availability,condition,price,sale_price,link,image_link,additional_image_link,brand,google_product_category,product_type,color,size,gender,material,sku,custom_number_1
5301,Traslado centro de Porto Seguro al aeropuerto,Traslado centro de Porto Seguro al aeropuerto,in stock,new,10440 CLP,,https://www.tur.com/es/porto-seguro/traslado-centro-porto-seguro-aeropuerto,https://d6myp1633h7qr.cloudfront.net/products/8e021810-dbcb-41a3-be38-eb0c7b32deb7.webp,,Tur,,Porto Seguro,,,,,5301,9857f8b6-00c8-4115-ab11-b8037160cddb
5300,Traslado ida y vuelta Porto Seguro y Praia de Santo André,Traslado ida y vuelta Porto Seguro y Praia de Santo André,in stock,new,92796 CLP,,https://www.tur.com/es/porto-seguro/traslado-ida-vuelta-porto-seguro-praia-santo-andre,https://d6myp1633h7qr.cloudfront.net/products/aea8ccfc-9a18-4334-8ac0-b41821265990.webp,,Tur,,Porto Seguro,,,,,5300,ab5432d7-7e79-4626-82ba-e2cedebc7298
5298,Traslado Praia de Santo André al aeropuerto Porto Seguro,Traslado Praia de Santo André al aeropuerto Porto Seguro,in stock,new,46398 CLP,,https://www.tur.com/es/porto-seguro/traslado-praia-santo-andre-aeropuerto-porto-seguro,https://d6myp1633h7qr.cloudfront.net/products/4552d616-0340-4da8-ad06-4868c5f387dc.webp,,Tur,,Porto Seguro,,,,,5298,6e85b2e8-9671-4be5-ba38-54424c509b70
5297,Traslado ida y vuelta aeropuerto Porto Seguro y Arraial d’Ajuda,Traslado ida y vuelta aeropuerto Porto Seguro y Arraial d’Ajuda,in stock,new,67277 CLP,,https://www.tur.com/es/porto-seguro/traslado-ida-vuelta-aeropuerto-porto-seguro-arraial-d-ajuda,https://d6myp1633h7qr.cloudfront.net/products/aff4acfd-765f-4c2b-8b5b-b4370948f447.webp,,Tur,,Porto Seguro,,,,,5297,077673db-072c-403f-bd25-2aaf1938a1da
5296,Traslado Arraial d’Ajuda al aeropuerto de Porto Seguro,Traslado Arraial d’Ajuda al aeropuerto de Porto Seguro,in stock,new,33639 CLP,,https://www.tur.com/es/porto-seguro/traslado-arraial-d-ajuda-aeropuerto-porto-seguro,https://d6myp1633h7qr.cloudfront.net/products/6783b1c6-4afd-45a0-98d7-aa23d4526c5e.webp,,Tur,,Porto Seguro,,,,,5296,01f762c0-fea9-49da-a746-87c368b94b6f
5295,Excursión a Morro Branco con tour en buggy desde Fortaleza,Excursión a Morro Branco con tour en buggy desde Fortaleza,in stock,new,34335 CLP,,https://www.tur.com/es/fortaleza/excursion-morro-branco-tour-buggy,https://d6myp1633h7qr.cloudfront.net/products/b1bc4921-63bb-426c-9da1-d4362577e548.webp,,Tur,,Fortaleza,,,,,5295,0c509f18-e2e9-47b2-ad8e-314aec18c5e2
5294,Moto de Nieve + Termas Valle de Colina,Moto de Nieve + Termas Valle de Colina,in stock,new,280000 CLP,,https://www.tur.com/es/santiago/moto-nieve-termas-colina-cajon-del-maipo,https://d6myp1633h7qr.cloudfront.net/products/a29fa31e-cbd8-4e49-a415-33594bd73543.webp,,Tur,,Santiago,,,,,5294,6aaea3c2-1796-42e3-8d29-33d2b2d4fb7a
5292,City Tour en Bus Panorámico por Medellín,City Tour en Bus Panorámico por Medellín,in stock,new,21357 CLP,,https://www.tur.com/es/medellin/city-tour-medellin-bus-panoramico-pueblito-paisa,https://d6myp1633h7qr.cloudfront.net/products/0bd2116e-79e5-4597-8493-363ded149362.webp,,Tur,,Medellín,,,,,5292,51c7b83b-3bff-4e40-9428-20e5e71758cd
5291,"Full day a Paracas, Huacachina y atardecer en el oasis","Full day a Paracas, Huacachina y atardecer en el oasis",in stock,new,80189 CLP,,https://www.tur.com/es/lima/full-day-ica-paracas-islas-ballestas-huacachina,https://d6myp1633h7qr.cloudfront.net/products/30eec878-16ce-4e50-a27c-d72b915d760a.webp,,Tur,,Lima,,,,,5291,2728f994-138b-46fb-8ea4-48791d194ee7
5290,Tour panorámico 3 distritos de Lima,Tour panorámico 3 distritos de Lima,in stock,new,40409 CLP,,https://www.tur.com/es/lima/tour-miradores-lima-barranco-morro-solar,https://d6myp1633h7qr.cloudfront.net/products/d9eca45e-99b4-43e7-b03f-35d234a147dd.webp,,Tur,,Lima,,,,,5290,e567b018-617d-4bc8-9967-0d6b279660f8
5289,Traslado Caraíva o Espelho al aeropuerto de Porto Seguro,Traslado Caraíva o Espelho al aeropuerto de Porto Seguro,in stock,new,115995 CLP,,https://www.tur.com/es/porto-seguro/traslado-caraiva-aeropuerto-porto-seguro,https://d6myp1633h7qr.cloudfront.net/products/bb8d7fda-82a4-472b-9dd1-1e64b00874e5.webp,,Tur,,Porto Seguro,,,,,5289,d5044317-5a32-4624-a0c4-6b545827cc81
5288,Traslado ida y vuelta Aeropuerto Porto Seguro a Caraíva o Praia do Espelho,Traslado ida y vuelta Aeropuerto Porto Seguro a Caraíva o Praia do Espelho,in stock,new,231990 CLP,,https://www.tur.com/es/porto-seguro/traslado-ida-y-vuelta-porto-seguro-caraiva-praia-do-espelho,https://d6myp1633h7qr.cloudfront.net/products/01111da2-e7bd-4f33-8b5d-0e1cc23368f7.webp,,Tur,,Porto Seguro,,,,,5288,8e46b91d-d647-4796-8a9f-c5b10a5ff122
5287,Traslado Santa Cruz Cabrália al Aeropuerto Porto Seguro,Traslado Santa Cruz Cabrália al Aeropuerto Porto Seguro,in stock,new,30159 CLP,,https://www.tur.com/es/porto-seguro/traslado-cabralia-aeropuerto-porto-seguro,https://d6myp1633h7qr.cloudfront.net/products/34595bc5-3de6-4fed-9c6f-d53d3ec46bc6.webp,,Tur,,Porto Seguro,,,,,5287,bbfdc8d1-4182-4f0b-8959-6bcfe58e25f3
5286,Traslado aeropuerto Porto Seguro hacia Cabrália Ida y Vuelta,Traslado aeropuerto Porto Seguro hacia Cabrália Ida y Vuelta,in stock,new,60318 CLP,,https://www.tur.com/es/porto-seguro/traslado-porto-seguro-cabralia-ida-vuelta,https://d6myp1633h7qr.cloudfront.net/products/932fd69e-110f-4339-8104-f01d91450c9f.webp,,Tur,,Porto Seguro,,,,,5286,f6bb5d5f-5b8f-49c4-aee6-f3076a7c77d8
5285,Traslado aeropuerto Porto Seguro hacia Trancoso Ida y Vuelta,Traslado aeropuerto Porto Seguro hacia Trancoso Ida y Vuelta,in stock,new,92796 CLP,,https://www.tur.com/es/porto-seguro/traslado-porto-seguro-trancoso-ida-vuelta,https://d6myp1633h7qr.cloudfront.net/products/e70dcff2-9409-45ab-b6c1-7fc0165a2b62.webp,,Tur,,Porto Seguro,,,,,5285,c6c88f56-549b-406b-93d3-a13e577aa2cd
5284,Traslado Trancoso al Aeropuerto Porto Seguro,Traslado Trancoso al Aeropuerto Porto Seguro,in stock,new,46398 CLP,,https://www.tur.com/es/porto-seguro/traslado-trancoso-aeropuerto-porto-seguro,https://d6myp1633h7qr.cloudfront.net/products/eaa34309-d30b-42f0-8ac8-cfe752ec637d.webp,,Tur,,Porto Seguro,,,,,5284,763397f4-3a8b-433b-80b8-8f9c9e6b6c2b
5283,Atardecer en Campos do Jordão,Atardecer en Campos do Jordão,in stock,new,26911 CLP,,https://www.tur.com/es/campos-do-jordao/atardecer-campos-do-jordao,https://d6myp1633h7qr.cloudfront.net/products/396da6f5-9d9d-4d7c-bb4c-78af3a1eabad.webp,,Tur,,Campos do Jordão,,,,,5283,eee162a7-27b7-4f04-a6fb-5cc90aa83ab6
5282,Tour del vino en Lima con catas y visita a Surco y Barranco,Tour del vino en Lima con catas y visita a Surco y Barranco,in stock,new,35711 CLP,,https://www.tur.com/es/lima/tour-del-vino-lima-catas-surco-barranco,https://d6myp1633h7qr.cloudfront.net/products/8362b9df-2554-4500-bf16-dc001515f2f8.webp,,Tur,,Lima,,,,,5282,beacf6d8-5811-42f2-8ecc-3a8f3cb5a136
5281,Tour panorâmico por Campos do Jordão,Tour panorâmico por Campos do Jordão,in stock,new,18560 CLP,,https://www.tur.com/es/campos-do-jordao/tour-panoramico-campos-do-jordao,https://d6myp1633h7qr.cloudfront.net/products/1f040379-a70c-4566-a566-9c22ce396afd.webp,,Tur,,Campos do Jordão,,,,,5281,2f5f6b05-8b69-44cc-a0f9-0f9032b8e37a
5280,Tour al Santuario de Aparecida desde Campos do Jordão,Tour al Santuario de Aparecida desde Campos do Jordão,in stock,new,46398 CLP,,https://www.tur.com/es/campos-do-jordao/tour-aparecida-campos-do-jordao,https://d6myp1633h7qr.cloudfront.net/products/3c1da2f2-9939-40d5-90a5-88b893fdc1c1.webp,,Tur,,Campos do Jordão,,,,,5280,8bf1339c-5b5f-42aa-a536-7bb8d2aaf4ec
5279,Ticket Diario Parque Farellones,Ticket Diario Parque Farellones,in stock,new,54900 CLP,,https://www.tur.com/es/santiago/ticket-centro-ski-farellones,https://d6myp1633h7qr.cloudfront.net/products/057250a8-2c83-411f-8e4c-3b4c1d3a16d4.webp,,Tur,,Santiago,,,,,5279,04a43d7b-266d-433b-be5a-1da80deb0e42
